#len,name,genre,terminaison
6,﻿James,M,22
4,John,M,25
6,Robert,M,24
7,Michael,M,29
7,William,M,26
4,Mary,F,3
5,David,M,21
6,Joseph,M,4
7,Richard,M,21
7,Charles,M,22
6,Thomas,M,22
11,Christopher,M,23
6,Daniel,M,29
7,Matthew,M,18
9,Elizabeth,F,4
8,Patricia,F,0
8,Jennifer,F,23
7,Anthony,M,3
6,George,M,1
5,Linda,F,0
7,Barbara,F,0
6,Donald,M,21
4,Paul,M,29
4,Mark,M,20
6,Andrew,M,18
6,Steven,M,25
7,Kenneth,M,4
6,Edward,M,21
6,Joshua,M,0
8,Margaret,F,24
5,Brian,M,25
5,Kevin,M,25
7,Jessica,F,0
5,Sarah,F,4
5,Susan,F,25
7,Timothy,M,3
7,Dorothy,F,3
5,Jason,M,25
6,Ronald,M,21
5,Helen,F,25
4,Ryan,M,25
7,Jeffrey,M,3
5,Karen,F,25
5,Nancy,F,3
5,Betty,F,3
4,Lisa,F,0
5,Jacob,M,27
8,Nicholas,M,22
6,Ashley,F,3
4,Eric,M,9
5,Frank,M,20
4,Gary,M,3
4,Anna,F,0
7,Stephen,M,25
8,Jonathan,M,25
6,Sandra,F,0
5,Emily,F,3
6,Amanda,F,0
8,Kimberly,F,3
8,Michelle,F,1
5,Donna,F,0
6,Justin,M,25
5,Laura,F,0
4,Ruth,F,4
5,Carol,F,29
7,Brandon,M,25
5,Larry,M,3
5,Scott,M,24
7,Melissa,F,0
9,Stephanie,F,1
8,Benjamin,M,25
7,Raymond,M,21
6,Samuel,M,29
7,Rebecca,F,0
7,Deborah,F,4
7,Gregory,M,3
6,Sharon,F,25
8,Kathleen,F,25
3,Amy,F,3
7,Cynthia,F,0
9,Alexander,M,23
7,Patrick,M,20
4,Jack,M,20
5,Henry,M,3
6,Angela,F,0
7,Shirley,F,3
4,Emma,F,0
9,Catherine,F,1
9,Katherine,F,1
8,Virginia,F,0
6,Nicole,F,1
6,Dennis,M,22
6,Walter,M,23
5,Tyler,M,23
5,Peter,M,23
6,Brenda,F,0
5,Aaron,M,25
5,Jerry,M,3
9,Christine,F,1
8,Samantha,F,0
4,Adam,M,26
6,Rachel,F,29
6,Pamela,F,0
7,Frances,F,22
6,Nathan,M,25
7,Douglas,M,22
7,Heather,F,23
6,Evelyn,F,25
4,Jose,M,1
5,Alice,F,1
5,Janet,F,24
5,Maria,F,0
7,Zachary,M,3
7,Carolyn,F,25
5,Debra,F,0
6,Harold,M,21
6,Martha,F,0
5,Marie,F,1
6,Arthur,M,23
5,Julie,F,1
4,Kyle,M,1
5,Diane,F,1
9,Christina,F,0
8,Victoria,F,0
5,Joyce,F,1
4,Carl,M,29
6,Lauren,F,25
5,Grace,F,1
5,Kelly,F,3
6,Albert,M,24
4,Rose,F,1
5,Megan,F,25
4,Joan,F,25
6,Jeremy,M,3
3,Ann,F,25
5,Julia,F,0
7,Kathryn,F,25
8,Lawrence,M,1
6,Olivia,F,0
6,Judith,F,4
5,Doris,F,22
4,Jean,F,25
6,Andrea,F,0
6,Gerald,M,21
4,Sean,M,25
3,Joe,M,1
5,Keith,M,4
4,Sara,F,0
6,Cheryl,F,29
6,Hannah,F,4
7,Mildred,F,21
6,Willie,M,1
7,Lillian,F,25
5,Roger,M,23
5,Jesse,M,1
10,Jacqueline,F,1
5,Ethan,M,25
5,Terry,M,3
9,Christian,M,25
5,Harry,M,3
6,Teresa,F,0
6,Austin,M,25
6,Gloria,F,0
5,Ralph,M,4
6,Janice,F,1
3,Roy,M,3
7,Theresa,F,0
5,Amber,F,23
8,Danielle,F,1
4,Noah,M,4
5,Bryan,M,25
6,Jordan,M,25
5,Louis,M,22
8,Brittany,F,3
5,Bruce,M,1
7,Madison,F,25
4,Judy,F,3
5,Billy,M,3
5,Dylan,M,25
6,Denise,F,1
7,Beverly,F,3
6,Eugene,M,1
4,Jane,F,1
7,Marilyn,F,25
7,Abigail,F,29
5,Diana,F,0
9,Charlotte,F,1
7,Natalie,F,1
7,Tiffany,F,3
5,Wayne,M,1
7,Russell,M,29
4,Alan,M,25
7,Crystal,F,29
6,Sophia,F,0
5,Irene,F,1
4,Juan,M,25
4,Ruby,F,3
7,Gabriel,M,29
6,Philip,M,14
5,Annie,F,1
5,Kayla,F,0
7,Vincent,M,24
4,Lori,F,2
6,Howard,M,21
6,Alexis,F,22
4,Erin,F,25
4,Fred,M,21
5,Logan,M,25
8,Isabella,F,0
5,Tammy,F,3
6,Louise,F,1
8,Florence,F,1
5,Randy,M,3
7,Bradley,M,3
5,Kathy,F,3
4,Lois,F,22
4,Anne,F,1
6,Bonnie,F,1
6,Victor,M,23
6,Taylor,F,23
6,Travis,M,22
7,Phyllis,F,22
5,Shawn,M,25
7,Phillip,M,14
7,Shannon,F,25
6,Martin,M,25
6,Johnny,M,3
5,Craig,M,11
7,Allison,F,25
5,Bobby,M,3
6,Alyssa,F,0
4,Ella,F,0
9,Josephine,F,1
6,Ernest,M,24
7,Stanley,M,3
4,Cody,M,3
8,Clarence,M,1
4,Tina,F,0
6,Elijah,M,4
7,Leonard,M,21
6,Carlos,M,22
4,Dawn,F,25
5,Robin,F,25
4,Edna,F,0
7,Cameron,M,25
5,Peggy,F,3
5,Caleb,M,27
7,Eleanor,F,23
5,Isaac,M,9
4,Todd,M,21
5,Jamie,F,1
4,Earl,M,29
7,Francis,M,22
5,Jimmy,M,3
5,Mason,M,25
5,Danny,M,3
6,Audrey,F,3
4,Rita,F,0
4,Luke,M,1
4,Dale,M,1
4,Alex,M,19
5,Paula,F,0
5,Clara,F,0
5,Wanda,F,0
4,Joel,M,29
4,Evan,M,25
5,Norma,F,0
4,Luis,M,22
8,Courtney,F,3
5,Ethel,F,29
9,Nathaniel,M,29
5,Wendy,F,3
5,Ellen,F,25
6,Leslie,F,1
8,Marjorie,F,1
7,Vanessa,F,0
5,Allen,M,25
7,Valerie,F,1
6,Carrie,F,1
3,Ava,F,0
3,Eva,F,0
9,Frederick,M,20
6,Curtis,M,22
5,Edith,F,4
6,Connie,F,1
5,Lucas,M,22
6,Gladys,F,22
5,Cindy,F,3
5,Tracy,F,3
6,Elaine,F,1
5,Hazel,F,29
6,Monica,F,0
6,Norman,M,25
6,Esther,F,23
7,Melanie,F,1
7,Brianna,F,0
7,Antonio,M,6
7,Jasmine,F,1
4,Chad,M,21
5,Katie,F,1
4,Tony,M,3
6,Rodney,M,3
5,Glenn,M,25
6,Marvin,M,25
5,April,F,29
5,Derek,M,20
5,Erica,F,0
3,Ian,M,25
6,Adrian,M,25
8,Theodore,M,1
9,Alexandra,F,0
6,Marcus,M,22
6,Alfred,M,21
7,Jackson,M,25
5,Edwin,M,25
6,Melvin,M,25
6,Sylvia,F,0
6,Sheila,F,0
6,Alicia,F,0
5,Steve,M,1
4,Leah,F,4
6,Hunter,M,23
3,Lee,M,1
7,Jeffery,M,3
7,Kristen,F,25
8,Caroline,F,1
3,Mia,F,0
6,Sherry,F,3
5,Angel,M,29
5,Jesus,M,22
6,Dustin,M,25
7,Herbert,M,24
7,Pauline,F,1
7,Michele,F,1
8,Veronica,F,0
5,Ricky,M,3
4,Liam,M,26
6,Wesley,M,3
6,Thelma,F,0
7,Suzanne,F,1
7,Lucille,F,1
6,Morgan,F,25
6,Joanne,F,1
4,Troy,M,3
5,Chloe,F,1
5,Anita,F,0
6,Connor,M,23
6,Isaiah,M,4
6,Julian,M,25
5,Jared,M,21
5,Holly,F,3
8,Lorraine,F,1
6,Jayden,M,25
4,Jill,F,29
9,Geraldine,F,1
6,Rhonda,F,0
7,Dolores,F,22
5,Eddie,M,1
6,Vivian,F,25
7,Darlene,F,1
5,Aiden,M,25
6,Calvin,M,25
5,Shane,M,1
3,Leo,M,6
7,Juanita,F,0
5,Sally,F,3
4,Lucy,F,3
6,Bertha,F,0
4,Gail,F,29
5,Oscar,M,23
4,Mike,M,1
7,Randall,M,29
3,Ray,M,3
7,Bernard,M,21
8,Jeremiah,M,4
4,Dana,F,0
6,Brooke,F,1
5,Leroy,M,3
6,Amelia,F,0
5,Corey,M,3
4,June,F,1
4,Owen,M,25
6,Claire,F,1
3,Jay,M,3
7,Kristin,F,25
8,Beatrice,F,1
8,Clifford,M,21
6,Marion,F,25
5,Renee,F,1
4,Tara,F,0
8,Madeline,F,1
5,Barry,M,3
6,Debbie,F,1
6,Eileen,F,25
6,Manuel,M,29
3,Ida,F,0
4,Lynn,F,25
5,Blake,M,1
4,Dean,M,25
3,Kim,F,26
7,Bernice,F,1
6,Ronnie,M,1
6,Warren,M,25
